処理結果,エラー理由,商品画像名_1,商品画像名_2,商品画像名_3,商品画像名_4,商品画像名_5,商品画像名_6,商品画像名_7,商品画像名_8,商品画像名_9,商品画像名_10,商品名,商品説明,SKU1_種類,SKU1_在庫数,SKU1_商品管理コード,SKU1_JANコード,SKU2_種類,SKU2_在庫数,SKU2_商品管理コード,SKU2_JANコード,SKU3_種類,SKU3_在庫数,SKU3_商品管理コード,SKU3_JANコード,SKU4_種類,SKU4_在庫数,SKU4_商品管理コード,SKU4_JANコード,SKU5_種類,SKU5_在庫数,SKU5_商品管理コード,SKU5_JANコード,SKU6_種類,SKU6_在庫数,SKU6_商品管理コード,SKU6_JANコード,SKU7_種類,SKU7_在庫数,SKU7_商品管理コード,SKU7_JANコード,SKU8_種類,SKU8_在庫数,SKU8_商品管理コード,SKU8_JANコード,SKU9_種類,SKU9_在庫数,SKU9_商品管理コード,SKU9_JANコード,SKU10_種類,SKU10_在庫数,SKU10_商品管理コード,SKU10_JANコード,ブランドID,販売価格,カテゴリID,商品の状態,配送方法,発送元の地域,発送までの日数,商品ステータス
失敗,"商品画像名_1が存在しません
商品画像名_2が存在しません
商品画像名_3が存在しません
商品画像名_4が存在しません
商品画像名_5が存在しません
商品画像名_6が存在しません
配送方法が未入力です
発送元の地域が未入力です
発送までの日数が未入力です
商品ステータスが未入力です",B013B7LC6Y_1.jpg,B013B7LC6Y_2.jpg,B013B7LC6Y_3.jpg,B013B7LC6Y_4.jpg,B013B7LC6Y_5.jpg,B013B7LC6Y_6.jpg,,,,,アネックス(ANEX) オフセットアダプター 対辺19mm,111111111111111lllhihihoiih55555555555555555アネックス(ANEX) オフセットアダプター 対辺19mm●手回しのスパナしか入らない狭いところのボルト回しを電動で回せるアタッチメント&#10;●建築の銅縁や胴差などの狭い箇所でのボルト・ナット回しに&#10;●内部ギア構造が狭い所の奥へ電動ドライバーのパワーを伝えます&#10;●別売専用ソケットを出力部に取付れば様々なサイズにも対応&#10;●最大許容トルク:180N・m&#10;●本体サイズ:全長232mm、最大幅46mm、先端厚9.5mm(最大厚19.5mm)&#10;●入力部対応サイズ:対辺19mm六角、対辺6.35mm六角軸&#10;●出力部:対辺19mm六角(12角仕様)&#10;●セット内容:本体、専用ソケット 各1個(H17mm/19mm)&#10;●包装:台紙・ブリスターパックセット内容:H19mm対応オフセットアダプター、H17mmソケット、H21mmソケット、Cリング(2個)オフセットアダプターサイズ:幅46×長さ232×厚さ9.5mmオフセットアダプター重量:325g最大トルク:180N・m最大トルク:180N・m,,1,MC0001717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042,1,1,,,,
失敗,"商品画像名_1が存在しません
商品画像名_2が存在しません
商品画像名_3が存在しません
配送方法が未入力です
発送元の地域が未入力です
発送までの日数が未入力です
商品ステータスが未入力です",B002WRCQ10_1.jpg,B002WRCQ10_2.jpg,B002WRCQ10_3.jpg,,,,,,,,(STRAIGHT/ストレート) ブレーキピストンプライヤー 19-9889,111111111111111lllhihihoiih55555555555555555(STRAIGHT/ストレート) ブレーキピストンプライヤー 19-9889ブレーキキャリパーのピストンの取り外しに使用するブレーキピストンプライヤーです。<br />ピストンの空洞部分にアタッチメント部を差し込んで握り、左右に振りながらピストンを引き抜きます。<br /><br />[適応ピストン内径] 19～40(mm)<br />[全長] 190mm<br /><br />[注意] ▲メーカー純正キャリパー以外では使用できない場合があります。<br />▲パーキングブレーキ付きキャリパー及びピストンの空洞部分に樹脂が埋め込まれている場合は使用できません。<br />▲作業により、ピストンの内側に傷が入ります。[保証] 六ヶ月保証[適応ピストン内径] 19～40(mm)[全長] 190mm,,1,MC0002666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308,1,1,,,,
失敗,"商品画像名_1が存在しません
商品画像名_2が存在しません
商品画像名_3が存在しません
商品画像名_4が存在しません
商品画像名_5が存在しません
商品画像名_6が存在しません
商品画像名_7が存在しません
配送方法が未入力です
発送元の地域が未入力です
発送までの日数が未入力です
商品ステータスが未入力です",B0BB21S82J_1.jpg,B0BB21S82J_2.jpg,B0BB21S82J_3.jpg,B0BB21S82J_4.jpg,B0BB21S82J_5.jpg,B0BB21S82J_6.jpg,B0BB21S82J_7.jpg,,,,★ green iPhone 12/12 Proケース（6.1）★iPhone,"111111111111111lllhihihoiih55555555555555555★ green iPhone 12/12 Proケース（6.1）★iPhone★【機種対応】6.1インチのiPhone 12 Pro適応iPhone 12適応の手帳型ケースです。高級な包装がついていてプレゼントに最適です。ご希望の商品,カラー,対応機種を十分ご確認の上、ご注文頂きますようお願い申し上げます。★【カード収納とスタンド機能】カード収納とスタンド機能、ケースの内側にカードポケット3つ付き，カード類や紙幣 、名刺、免許証などを入れることができ、日常の生活に便利です。この手帳型ケースは横置きのスタンド機能が付いて、好きな角度を調整して動画鑑賞や読書などを楽しめます。★【多機能】 内蔵マグネット機能搭載の手帳型ケースなので、滑り防止のTPU素材を採用され、とてもシンプルな感じで、しかも持ち易く、使い勝手がよいのです。ベルトがなくても蓋がしっかりと閉まります。軽量設計の、長く持っても手が疲れる感じもありません。ケースを付けたまま、電源ボタン、音量ボタン、コネクター等の機能が自由に使えます。★【全面的な保護】 耐衝撃性と、耐熱性と柔軟性を誇るPUレザーから作られていて、滑りにくく、指紋、油分などもつきにくく、手帳型ならではの全面保護機能でディスプレイはもちろん、背面もしっかりガードします。さらにカメラレンズ保護構造でスマホ本体を傷から360度しっかり保護してくれます。高級な包装がついていてプレゼントに最適です。★【全面的な保護】 耐衝撃性と、耐熱性と柔軟性を誇るPUレザーから作られていて、滑りにくく、指紋、油分などもつきにくく、手帳型ならではの全面保護機能でディスプレイはもちろん、背面もしっかりガードします。さらにカメラレンズ保護構造でスマホ本体を傷から360度しっかり保護してくれます。高級な包装がついていてプレゼントに最適です。",,1,MC0000620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,1,1,,,,
失敗,"商品画像名_1が存在しません
商品画像名_2が存在しません
商品画像名_3が存在しません
商品画像名_4が存在しません
商品画像名_5が存在しません
商品画像名_6が存在しません
商品画像名_7が存在しません
商品画像名_8が存在しません
配送方法が未入力です
発送元の地域が未入力です
発送までの日数が未入力です
商品ステータスが未入力です",B003B33PIW_1.jpg,B003B33PIW_2.jpg,B003B33PIW_3.jpg,B003B33PIW_4.jpg,B003B33PIW_5.jpg,B003B33PIW_6.jpg,B003B33PIW_7.jpg,B003B33PIW_8.jpg,,,★ 225mm★ビクター マルチペンチ(エラストマーカバー付),"111111111111111lllhihihoiih55555555555555555★ 225mm★ビクター マルチペンチ(エラストマーカバー付)国内外を問わず60年以上に亘ってプロユーザーから多くの支持を受ける""花園工具(VICTOR)"" ハイグレードペンチ&#10;従来商品よりも軽量化をはかり、携帯性と作業性をアップ。圧着機能付で1.25~3.5mmを簡易圧着できます。&#10;プライヤー部がありパイプやナットを回し易くなっています。&#10;テコの原理を応用して偏心することで、従来製品よりも軽く切断できます。&#10;耐電性向上:エラストマ(絶縁樹脂)材によりグリップの耐電性・耐薬品性が向上&#10;疲労半減:人間工学に基づいたグリップ形状とエラストマ材の柔らかさで抜群の握りやすさを実現し手の疲れが50%軽減&#10;切断能力(mm):鉄線:4.0φ・銅線:5.0φ&#10;圧着能力:1.25~3.5製造国:日本従来商品よりも軽量化をはかり、携帯性と作業性をアップ。圧着機能付で1.25~3.5mmを簡易圧着できます。プライヤー部がありパイプやナットを回し易くなっています。テコの原理を応用して偏心することで、従来製品よりも軽く切断できます。テコの原理を応用して偏心することで、従来製品よりも軽く切断できます。",,1,MC0001718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042,1,1,,,,
失敗,"商品画像名_1が存在しません
商品画像名_2が存在しません
配送方法が未入力です
発送元の地域が未入力です
発送までの日数が未入力です
商品ステータスが未入力です",B0040WA8HY_1.jpg,B0040WA8HY_2.jpg,,,,,,,,,ネツレン 引掛スパナ 38-45,111111111111111lllhihihoiih55555555555555555ネツレン 引掛スパナ 38-45商品の説明&#10;&#10;●丸ナット及び軸受け用ナットの取り付け、取り外し作業に最適です。●【用途】●コロガリ軸受ナットを締付けるφ３８~４５用スパナ。●【機能・特徴】●フック部はカギ型になっています。●特殊合金鋼を使用していますから非常に軽量強靱です。●【仕様】●ダイヤφ３８~４５。●表面ニス仕上塗装。●【材質】●特殊鋼。●【商品サイズ】幅４０×高さ１７６×奥行６ｍｍ　重量８３ｇ●商品コード：4942411308626●JANコード：4942411308626●ブランド名：ネツレン●商品名：引掛スパナ●規格：３８-４５&#10;&#10;Amazonより&#10;&#10;●ボトル・ナットのサイズに合ったものを使用してください&#10;●パイプ等を継ぎ足して使用しないでください&#10;●ハンマー代わりに使用しないでください&#10;●ハンマー等で叩いて衝撃を加えないでください対応するナットの外径:38-45,,1,MC0002667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308,1,1,,,,
失敗,"商品画像名_1が存在しません
商品画像名_2が存在しません
商品画像名_3が存在しません
商品画像名_4が存在しません
商品画像名_5が存在しません
商品画像名_6が存在しません
商品画像名_7が存在しません
商品画像名_8が存在しません
商品画像名_9が存在しません
配送方法が未入力です
発送元の地域が未入力です
発送までの日数が未入力です
商品ステータスが未入力です",B094CFYWL3_1.jpg,B094CFYWL3_2.jpg,B094CFYWL3_3.jpg,B094CFYWL3_4.jpg,B094CFYWL3_5.jpg,B094CFYWL3_6.jpg,B094CFYWL3_7.jpg,B094CFYWL3_8.jpg,B094CFYWL3_9.jpg,,ソニー純正 国内正規品 Xperia1 III 専用 ケース カバー,111111111111111lllhihihoiih55555555555555555ソニー純正 国内正規品 Xperia1 III 専用 ケース カバー※ソニー純正 国内正規品です。海外からの並行輸入品ではありません。本製品は動画視聴などに便利な、開閉式のスタンド機構を搭載したケースです。 閉じればカバーと一体化するスリム構造。 ぴったりフィットする、精密なデザインで、 本体の美しい3D形状を損ないません。 99.9％以上の抗菌率で細胞の増殖を抑え、カバー表面を清潔に保ちます。 ※経年使用により効果は変動する場合があります。 ※JIS Z 280 ...純正カバーならではのぴったりフィットする精密で美しいデザイン端末本体のハンドフィットデザインを最大限に生かす、握り心地のよい素材を追求した専用背面カバー落下時の強度試験、環境試験など、ソニー基準の品質基準をクリア動画視聴などに便利な、開閉式のスタンド機構を搭載したケース動画視聴などに便利な、開閉式のスタンド機構を搭載したケース,,1,MC0000621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,1,1,,,,
失敗,"商品画像名_1が存在しません
商品画像名_2が存在しません
商品画像名_3が存在しません
商品画像名_4が存在しません
商品画像名_5が存在しません
商品画像名_6が存在しません
商品画像名_7が存在しません
配送方法が未入力です
発送元の地域が未入力です
発送までの日数が未入力です
商品ステータスが未入力です",B0BFB2GST6_1.jpg,B0BFB2GST6_2.jpg,B0BFB2GST6_3.jpg,B0BFB2GST6_4.jpg,B0BFB2GST6_5.jpg,B0BFB2GST6_6.jpg,B0BFB2GST6_7.jpg,,,,★ 001★ソケットレンチセット ラチェットレンチ オフセットタイプ,111111111111111lllhihihoiih55555555555555555★ 001★ソケットレンチセット ラチェットレンチ オフセットタイプ【セット内容】差込角6.3?(1/4インチ)のツールセットです。ラチェットレンチ、スピンナーハンドル、ユニバーサルジョイント、交換用ビットアダプター、T型スライドハンドル、フレキシブルエクステンションバー、エクステンションバー*2、六角レンチL型*3、ソケット*13、S2合金鋼ビット*21、ケース付き。詳しいセット内容が商品情報にご参考ください。【ソケットホルダー付き】簡単にソッケトを取外せ、確実にソケットを取付けられます。紛失防止し、携帯と保管しやすいです。【材質】錆ににくい高品質なCrvとS2合金鋼で、完全的に熱処理され、高硬度、高靭性、耐久性を実現しました。特にビットは腐食に耐えるように銅メッキされています。【持ち運びに便利】重量：1.2kg。丈夫な整理ケースは、作業工具を紛失防止し、便利なツール保管を提供しており、コンパクトで持ち運びも便利です。豊富な46点セットで、工具を一つずつ買い揃えなくても済みます。ケースのサイズ（約）：24×15×5cm【持ち運びに便利】重量：1.2kg。丈夫な整理ケースは、作業工具を紛失防止し、便利なツール保管を提供しており、コンパクトで持ち運びも便利です。豊富な46点セットで、工具を一つずつ買い揃えなくても済みます。ケースのサイズ（約）：24×15×5cm,,1,MC0001719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042,1,1,,,,
失敗,"商品画像名_1が存在しません
商品画像名_2が存在しません
配送方法が未入力です
発送元の地域が未入力です
発送までの日数が未入力です
商品ステータスが未入力です",B002PK0JOK_1.jpg,B002PK0JOK_2.jpg,,,,,,,,,IPS(アイピーエス) ハイパーロングプライヤ ストレート HLS-300,111111111111111lllhihihoiih55555555555555555IPS(アイピーエス) ハイパーロングプライヤ ストレート HLS-300商品の説明&#10;&#10;●300mmのロングリーチで深いところに手が届くき強力につかむ。●本体はJIS規格品のクロームバナジウム鋼を使用し、完全無酸化焼入れで耐久性抜群。●硬度HRC44~55。●握りやすいビニールグリップ。●切断能力あり（軟線φ3.2mmまで）。●パッケージサイズ／縦：325mm横：78mm高さ：20mm●パッケージ重量：360g●呼び寸法:300mm●全長:295mm●最大口開き幅:25mm●口開き調節:2段階●重量:360g●切断能力:軟硬φ3.2mm位まで●材質:クロームバナジウム鋼&#10;&#10;Amazonより&#10;&#10;●ロングリーチで手が届く剛性に優れたプライヤ。本体はJIS規格品のクロームバナジウム鋼を使用。完全無酸化焼入れで耐久性抜群&#10;&#10;ご注意（免責）＞必ずお読みください&#10;&#10;●時間指定は出来ません。●使用用途を守ってご使用ください。IPS アイピーエス HLS-300 ハイパー ロングプライヤー 300mm （ストレートタイプ) リザード,,1,MC0002668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308,1,1,,,,
失敗,"商品画像名_1が存在しません
商品画像名_2が存在しません
商品画像名_3が存在しません
商品画像名_4が存在しません
商品画像名_5が存在しません
商品画像名_6が存在しません
商品画像名_7が存在しません
商品画像名_8が存在しません
配送方法が未入力です
発送元の地域が未入力です
発送までの日数が未入力です
商品ステータスが未入力です",B0B7BCZRXW_1.jpg,B0B7BCZRXW_2.jpg,B0B7BCZRXW_3.jpg,B0B7BCZRXW_4.jpg,B0B7BCZRXW_5.jpg,B0B7BCZRXW_6.jpg,B0B7BCZRXW_7.jpg,B0B7BCZRXW_8.jpg,,,★ brown★FODDOM Galaxy Z Fold4 5Gケース,111111111111111lllhihihoiih55555555555555555★ brown★FODDOM Galaxy Z Fold4 5Gケース仕様&#10;&#10;商品：Samsung Galaxy Z Fold4 5Gケース&#10;&#10;カラー：褐色 （ブラウン）※Samsung Galaxy Z Fold4ケース fold4本革ケース レザー 手帳型/カード収納/スタンド機能/ストラップ付きフォールド4ケース&#10;&#10;Samsung Galaxy Z Fold4 5Gケースは上質のレザー素材を採用しており、 カード収納/スタンド機能/ストラップ付きで、手触りがとても快適、手のひらサイズにフィットし、使用便利、まだ持ちやすいです。放熱性が良く、擦り傷や埃を防ぐことができます。 お使いの携帯電話を完全に保護します。&#10;&#10;ギャラクシーZ Fold4スマートフォンケース　Galaxy z Fold4 5Gケースをつけたまま、ワイヤレス充電することが便利です。カメラ、音量、コネクターなどのボタンは完璧にカットアウトされ、操作もスムースです。&#10;&#10;Fold4 全面保護ケース：&#10;&#10;Galaxy Z Fold4 5Gケースの四隅にラウンド処理がされており、 Galaxy Z Fold4との一体感ガアップします。液晶やカメラレンズが直接触れないよう、ケースを液晶画面・カメラより高めに設計しております。Z Fold4の背面スクリーン保護、Z Fold4 5Gケース付けても全体薄型と軽量です。&#10;&#10;Fold4 耐衝撃ケース：&#10;&#10;Galaxy Z Fold4 5Gケース全面保護して耐衝撃があります。&#10;&#10;Samsung Galaxy Z Fold4 ケースは衝撃に強く、耐久性に優れて、落下や振動、衝突を保護できます。高度から落下しても画面が割れません。&#10;&#10;Z Fold4ケースのパッケージがギフトボックスで高級感があります。親戚・友達へのプレゼントとしてお薦めです。Galaxy Z Fold4ケース対応機種：Samsung Galaxy Z Fold4ケース サムスン ギャラクシーゼットフォールド4ケース 新販売Fold4の携帯ケースです,,1,MC0000622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,1,1,,,,
失敗,"商品画像名_1が存在しません
商品画像名_2が存在しません
商品画像名_3が存在しません
商品画像名_4が存在しません
商品画像名_5が存在しません
商品画像名_6が存在しません
配送方法が未入力です
発送元の地域が未入力です
発送までの日数が未入力です
商品ステータスが未入力です",B003TE8I5I_1.jpg,B003TE8I5I_2.jpg,B003TE8I5I_3.jpg,B003TE8I5I_4.jpg,B003TE8I5I_5.jpg,B003TE8I5I_6.jpg,,,,,★ 17×21mm 6角★タジマ(Tajima) ソケットダブル17×21mm,111111111111111lllhihihoiih55555555555555555★ 17×21mm 6角★タジマ(Tajima) ソケットダブル17×21mm商品の説明&#10;&#10;【用途】&#10;●インパクトドライバー用ソケット。&#10;【特徴】&#10;●ビット交換式なので、ソケットを寿命まで使うことができます。&#10;●市販のインパクトドライバー用ビットが使えます(6.35mm六角軸ビット65mm以上、溝位置13mm)。&#10;●1本で2サイズ使える、ダブルソケットです。&#10;●交換はスライド式で、工具も手間も要りません。&#10;【仕様】&#10;●呼び寸法：17×21(6角)&#10;●全長：113mm&#10;●材質：本体：クロームバナジウム鋼&#10;&#10;Amazonより&#10;&#10;●よく使う2つのサイズを内蔵したダブルソケット&#10;●きちんと噛み合う6角ソケット&#10;&#10;ご注意（免責）＞必ずお読みください&#10;&#10;定形外メール便でお届けします。ソケットビットソケットレンチ2016年オレンジブックタジマ　工具類頁掲載タジマ　工具類タジマ　工具類,,1,MC0001720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042,1,1,,,,
