"商品画像名_1","商品画像名_2","商品画像名_3","商品画像名_4","商品画像名_5","商品画像名_6","商品画像名_7","商品画像名_8","商品画像名_9","商品画像名_10","商品名","商品説明","SKU1_種類","SKU1_在庫数","SKU1_商品管理コード","SKU1_JANコード","SKU2_種類","SKU2_在庫数","SKU2_商品管理コード","SKU2_JANコード","SKU3_種類","SKU3_在庫数","SKU3_商品管理コード","SKU3_JANコード","SKU4_種類","SKU4_在庫数","SKU4_商品管理コード","SKU4_JANコード","SKU5_種類","SKU5_在庫数","SKU5_商品管理コード","SKU5_JANコード","SKU6_種類","SKU6_在庫数","SKU6_商品管理コード","SKU6_JANコード","SKU7_種類","SKU7_在庫数","SKU7_商品管理コード","SKU7_JANコード","SKU8_種類","SKU8_在庫数","SKU8_商品管理コード","SKU8_JANコード","SKU9_種類","SKU9_在庫数","SKU9_商品管理コード","SKU9_JANコード","SKU10_種類","SKU10_在庫数","SKU10_商品管理コード","SKU10_JANコード","ブランドID","販売価格","カテゴリID","商品の状態","配送方法","発送元の地域","発送までの日数","商品ステータス"
"B0B8RZB3SR_1.jpg","B0B8RZB3SR_2.jpg","B0B8RZB3SR_3.jpg","B0B8RZB3SR_4.jpg","","","","","","","NIMASO ケース iPhone 14 / iPhone13 用 ケース","NIMASO ケース iPhone 14 / iPhone13 用 ケースNIMASO ケース iPhone14 用 ケース 半透明 カバー 米軍MIL規格取得 衝撃吸収 ストラップホール付き ワイヤレス充電対応 スマホケース iPhone 14 6.1インチ 対応 NSC22H536【対応機種】アイフォン14 / 13 用（6.1インチ・二眼レフ）【米国MIL規格取得・超高耐衝撃性】世界で有名な米国防総省が規定する米軍採用品規格「MIL-STD-810H」に準拠。（認証番号：GZMR220802602301）。1.22mの高さからコンクリートの地面に厚さ5mmの合板を敷いた上に合計26回それぞれ違う角度から落下させて、本体は完全に無事です。高い耐衝撃性を誇り、アイホンを全方位からしっかりと守ります。【半透明・マットな仕上げ】背面のポリカーボネートは、耐久性や耐摩耗性に優れ、マットな質感でサラサラして触り心地がすごく良いです。表面には指紋防止ナノオコーティングを施しており、指紋つく心配はありません。特に、背面は半透明で、高級感と神秘感が溢れ、かっこいいリンゴロゴが見えます。【使い心地よい設計】側面はTPU素材を採用。ベタつかず適度な柔らかさでクッション性があり、心地よく手にフィットして滑りにくいので落としてしまう心配が減ります。また、左下にはストラップホールがあり、お好きなストラップを付けられます。【細部までも保護】液晶画面より1.2mm高め、併用のガラスフィルムまでも保護できます。背面側はカメラレンズより0.5mm高め、机などの平面に置いても傷付く心配はありません。更に、ケースの背面までも傷から保護でき、いつもキレイに保ちます。【細部までも保護】液晶画面より1.2mm高め、併用のガラスフィルムまでも保護できます。背面側はカメラレンズより0.5mm高め、机などの平面に置いても傷付く心配はありません。更に、ケースの背面までも傷から保護でき、いつもキレイに保ちます。","","1","MC0000027111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3168","KcDmi7jYMadZpQGMSb9MKP","1","1","jp12","3","1"
"B096ZQNMHH_1.jpg","B096ZQNMHH_2.jpg","B096ZQNMHH_3.jpg","B096ZQNMHH_4.jpg","","","","","","","★ A...クリア★【2023新型・革新耐黄変技術】CASEKOO","★ A...クリア★【2023新型・革新耐黄変技術】CASEKOO?対応機種：iPhone14/13用（6.1インチ・二眼レフ） KooCARE品質保証付き：商品についてのお問い合わせは、24時間・365日迅速な対応で受け付けております！ご購入前、利用中に何かございましたら、何時でもお気軽にお問い合わせてください。?【2023年革新耐黄変技術・いつでもキレイに魅せる】 背面に高透明度と指紋軽減を両立した特殊PC素材を採用、さらに素材の芯まで最新技術「KooCLEAR」分子浸透する事でクリアケースあるあるの変色劣化を徹底解消！iPhone本来の美しさを損なわなず、洗練されたデザインを引き立たせる。 抗UV性LCS認証番号：LCS210425017AR200｜認証機関：LCS Compliance Testing Laboratory｜認証時間：May 08, 2022?【米軍MIL認証済み・もしもの時も大丈夫】 3D立体緩衝増強クッション搭載；高さ3.05M、28方向から、4500回以上テスト済み、ポケットから取り出す、歩きスマホや片手利用などでふとした際に落としても万全保護でき、全方向の衝撃から守る。 ?米軍MIL規格SGS認証番号：GZMR220702237705｜認証機関：SGS‐CSTC Standards Testing Center｜認証時間：Jul 20, 2022?【カメラ＆画面保護・普段使いに安心感】 液晶画面より1.5mmとカメラレンズより2.5mm高くデザインされ、さらに、背面に約0.5?の突起があり、不安定でガタガタ揺れる心配もいりません。また、硬質クロムメッキ加工で、摩擦係数が小さいため耐摩耗性に優れ。スマホをどんな角度に置いても擦り傷無し。?【カメラ＆画面保護・普段使いに安心感】 液晶画面より1.5mmとカメラレンズより2.5mm高くデザインされ、さらに、背面に約0.5?の突起があり、不安定でガタガタ揺れる心配もいりません。また、硬質クロムメッキ加工で、摩擦係数が小さいため耐摩耗性に優れ。スマホをどんな角度に置いても擦り傷無し。","","1","MC0000027112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4232","YsqH6HfgXAQsfjjmZn2c8A","1","1","jp12","3","1"
"B0B5XMRNFC_1.jpg","B0B5XMRNFC_2.jpg","B0B5XMRNFC_3.jpg","B0B5XMRNFC_4.jpg","","","","","","","★ ブラック★【米軍規格・MagSafe対応】TORRAS iPhone 14","★ ブラック★【米軍規格・MagSafe対応】TORRAS iPhone 14?【2023アップグレード新版・強力な磁力吸着！】様々なアクセサリーを使いたいが、他のケースも磁力が全くないのが悩み？これを試してみて! iPhone14pro 用 ケース内部は38個強力な業界初N52マグネットを搭載、超吸着能力でいくら振っても落ちないし、丸いマグネットに加え、底面にある縦長のマグネットでマグセーフを固定します。また、マグセーフ世代に増える、Magsafe対応スタンド＆リングなど大活躍で、リラックスした生活に重宝します。?対応機種：iPhone14pro用（6.1インチ・三眼）??【米国MIL規格取得・超強耐衝撃性！】いくら気をつけていても落とす時がある！でも大丈夫！ケースが米国防総省制定米軍MIL規格に完勝（認証番号：No.GZIN2005022739PS）、2Ｍの高さから26回以上落としても本体は綺麗に無傷！また、TORRA特許の3代目「X-SHOCK」と背面「カメラエアバッグ」された耐衝撃技術も備えています。高い耐衝撃性を誇り、iPhone14proを全方位からしっかりと守ります。?【半透明美学・さようなら黄ばみ！】iPhone14pro ケース背面が透ける特性を汲み取った半透明デザインで、意図せず現れた上品感が溢れている。マグネットのデザインが目立ちせずうまく馴染んでくれています、目にした瞬間に心引き込まれる。背面が艶消しマット質感でまるでベルベットのように優しく心地よいを楽しめ、優しい手触り触るだけで心が癒される。さらに、半透明＋黒の二色構造で黄ばみの心配が一切なく、黄ばみに悩んでいる方に大正解！今までにない耐久性を持つ、長年でも「Guardian-Mag」だけで十分！?ストラップホール付き???【吸力を60％向上・もっと高速充電体験！】まだケーブルで充電しているのか？ これを試してみて！完璧に配置された磁石により、いつでもどこでもワイヤレス20W高速充電を体験が実現します。更に、今年にTORRAS 磁力技術により、新磁石配列でマグネットの吸力を60％向上させた、iPhone14proの充電効率が大幅に改善されます。?品質保証付き：最大12ヶ月保証 ※TORRAS正規販売店からの注文に限り6ヶ月保証の対象となり","","1","MC0000027114","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5258","ferP57toSJiWhmiBPf99EE","1","1","jp12","3","1"
"B08BJYY1D8_1.jpg","B08BJYY1D8_2.jpg","B08BJYY1D8_3.jpg","B08BJYY1D8_4.jpg","","","","","","","★ 5. DIGNO BX 901KC ブルー+イエロー★京セラ DIGNO","★ 5. DIGNO BX 901KC ブルー+イエロー★京セラ DIGNO対応機種：DIGNO BX 901KC 5.65インチ外観：高品質PUレザー素材で作られたZouzt、高い柔軟性の内部使用は、ブラック柔らかく、耐久性のあるTPU素材、必ずお使いの携帯電話の防水落下耐性を作ることができますスマートフォンをレイヤーで保護します。これらの革の品質、強度、特性および質感が選択される。彼らはファッションであり、自然で、柔らかいと感じています。マルチ機能：横開きタイプケース、スマホ横置きでスタンド機能付き、動画鑑賞、読書など楽々に楽しめます。内側に３つカードポケット、車券と名刺などに便利なカードスロット、小銭など挿入可能サイドポケット、ちょっとしたお出かけにもこれ一つでOK！財布型ケースとして、名刺やお札などを入れるカードポケットがつき、日常生活に便利です。保護：背面カメラ部や内部パネルには穴が開いている為、装着したまま写真撮影や音量ボタン・イヤホンマイク等使用が可能です。充電ケーブルを利用することによりスマホに装着したまま充電可能です。 ※スマートフォン/携帯電話本体は商品には含まれません。保護：背面カメラ部や内部パネルには穴が開いている為、装着したまま写真撮影や音量ボタン・イヤホンマイク等使用が可能です。充電ケーブルを利用することによりスマホに装着したまま充電可能です。 ※スマートフォン/携帯電話本体は商品には含まれません。","","1","MC0000027115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3054","7WtdPf7shXQPMbgF8SNqrJ","1","1","jp12","3","1"
"B08B4LM4DJ_1.jpg","B08B4LM4DJ_2.jpg","B08B4LM4DJ_3.jpg","B08B4LM4DJ_4.jpg","","","","","","","★ 5. DIGNO BX 901KC ブラック★京セラ DIGNO BX","★ 5. DIGNO BX 901KC ブラック★京セラ DIGNO BX対応機種：DIGNO BX 901KC 5.65インチ外観：高品質PUレザー素材で作られたZouzt、高い柔軟性の内部使用は、ブラック柔らかく、耐久性のあるTPU素材、必ずお使いの携帯電話の防水落下耐性を作ることができますスマートフォンをレイヤーで保護します。これらの革の品質、強度、特性および質感が選択される。彼らはファッションであり、自然で、柔らかいと感じています。マルチ機能：横開きタイプケース、スマホ横置きでスタンド機能付き、動画鑑賞、読書など楽々に楽しめます。内側に３つカードポケット、車券と名刺などに便利なカードスロット、小銭など挿入可能サイドポケット、ちょっとしたお出かけにもこれ一つでOK！財布型ケースとして、名刺やお札などを入れるカードポケットがつき、日常生活に便利です。保護：背面カメラ部や内部パネルには穴が開いている為、装着したまま写真撮影や音量ボタン・イヤホンマイク等使用が可能です。充電ケーブルを利用することによりスマホに装着したまま充電可能です。 ※スマートフォン/携帯電話本体は商品には含まれません。保護：背面カメラ部や内部パネルには穴が開いている為、装着したまま写真撮影や音量ボタン・イヤホンマイク等使用が可能です。充電ケーブルを利用することによりスマホに装着したまま充電可能です。 ※スマートフォン/携帯電話本体は商品には含まれません。","","1","MC0000027116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2966","cKxVXpPgmwaBfoAGkk4KQT","1","1","jp12","3","1"
"B09HKQQBCH_1.jpg","B09HKQQBCH_2.jpg","B09HKQQBCH_3.jpg","B09HKQQBCH_4.jpg","","","","","","","★ ブラック★【本体の色・5色】CASEKOO iPhone 14 / 13","★ ブラック★【本体の色・5色】CASEKOO iPhone 14 / 13【米軍基準・安心の衝撃対策】米軍基準のタフさを誇るiPhone14ケース。米軍「MIL-STD-810G」落下試験に合格したタフさ！それ以上、ポケットから取り出すときにうっかり落ちたり、歩きスマホ中にうっかり人とぶつかって落としたなど、よくあるスマホを落とす状況も試験を行った。無傷で済む！【指紋防止・クリームに効果】 「ロータス効果」にヒントを得て、超撥油性構造の艶消し表面に蓮葉バイオニック技術を配合、手の脂・汗を効果的に抑えつつ、ずっと触っていたい肌触りを実現。手汗がすごい方や冬にハンドクリームを使う方ににおすすめ。指紋防止力は人により、効果が弱くなる可能性がある。ご了承ください。【手に馴染む・持ちやすい】 アイホン14になり角が鋭くなり少し痛い欠点を解消するため、人間工学に基づいたラウンドエッジにしたことで、さらに手に馴染み持ちやすい。また、側面にだけの滑り止め設計により、ホールド感が高まり、秋から冬にかけて手が乾燥でも滑りにくい。【ワイヤレス充電・より便利】ケースを付けたままでもあいほん 14を充電器の上に置くだけで充電できる、充電のたびにケーブル端子を接続する手間が省ける。??????ケース自体に厚みがあり、MagSafeアクセサリーによって充電や吸着することが可能ですが、磁力が弱くなる。【ワイヤレス充電・より便利】ケースを付けたままでもあいほん 14を充電器の上に置くだけで充電できる、充電のたびにケーブル端子を接続する手間が省ける。??????ケース自体に厚みがあり、MagSafeアクセサリーによって充電や吸着することが可能ですが、磁力が弱くなる。","","1","MC0000027117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4452","cKxVXpPgmwaBfoAGkk4KQT","1","1","jp12","3","1"
"B09Z4RVLXN_1.jpg","B09Z4RVLXN_2.jpg","B09Z4RVLXN_3.jpg","B09Z4RVLXN_4.jpg","","","","","","","★ ブラック★【本体の色・４色】CASEKOO iPhone 14 Pro 用","★ ブラック★【本体の色・４色】CASEKOO iPhone 14 Pro 用【米軍基準・安心の衝撃対策】米軍基準のタフさを誇るiPhone14 Proケース。何千回もの落下試験を行い、落とす瞬間の受力状況を研究し、最終的に衝撃力をよく吸収するU-AIRを四隅に内臓した。優れたタフネスデザインで強い落下衝撃からボディの損傷を防ぐ。不意に1.8mの高さからコンクリートに落としてしても壊れない堅牢な仕様だ。 【指紋防止・手汗に効果】 「ロータス効果」にヒントを得て、超撥油性構造の艶消し表面に蓮葉バイオニック技術を配合、手の脂・汗を効果的に抑えつつ、ずっと触っていたい肌触りをもたらす。手汗がすごい方におすすめする。?【米軍基準・安心の衝撃対策】米軍基準のタフさを誇るiPhone14Pro ケース。米軍「MIL-STD-810G」落下試験に合格したタフさ！それ以上、ポケットから取り出すときにうっかり落ちたり、歩きスマホ中にうっかり人とぶつかって落としたなど、よくあるスマホを落とす状況も試験を行った。無傷で済む！?【指紋防止・クリームに効果】 「ロータス効果」にヒントを得て、超撥油性構造の艶消し表面に蓮葉バイオニック技術を配合、手の脂・汗を効果的に抑えつつ、ずっと触っていたい肌触りを実現。手汗がすごい方や冬にハンドクリームを使う方ににおすすめ。?【手に馴染む・持ちやすい】 アイホン14 Proになり角が鋭くなり少し痛い欠点を解消するため、人間工学に基づいたラウンドエッジにしたことで、さらに手に馴染み持ちやすい。また、側面にだけの滑り止め設計により、ホールド感が高まり、秋から冬にかけて手が乾燥でも滑りにくい。?【QI充電対応・より便利】ケースを付けたままでもアイフォン14 Proを充電器の上に置くだけで充電できる、充電のたびにケーブル端子を接続する手間が省ける。※ケース自体に厚みがあり、MagSafeアクセサリーによって充電や吸着することが可能ですが、磁力が弱くなる。?【QI充電対応・より便利】ケースを付けたままでもアイフォン14 Proを充電器の上に置くだけで充電できる、充電のたびにケーブル端子を接続する手間が省ける。※ケース自体に厚みがあり、MagSafeアクセサリーによって充電や吸着することが可能ですが、磁力が弱くなる。","","1","MC0000027118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4672","YsqH6HfgXAQsfjjmZn2c8A","1","1","jp12","3","1"
"B0BFNTXX18_1.jpg","B0BFNTXX18_2.jpg","B0BFNTXX18_3.jpg","B0BFNTXX18_4.jpg","","","","","","","iPhone SE ケース 手帳型 第2世代 第3世代 iphone8 ケース","iPhone SE ケース 手帳型 第2世代 第3世代 iphone8 ケース【適用型番】iPhone SE3 第3世代(2022年モデル)/ iPhone SE2(2020年モデル)、iPhone 8(2017年モデル)、iPhone 7(2016年モデル)。★機種と画面サイズを確認して購入してください。【全面保護】外部の保護ケースは上質な合皮(PU)合皮を採用して、放熱性や耐衝撃が良く、肌触りがよく、塵、埃が入るのも防ぎます。内部のプラスチックはTPUソフトケースで、破損することはありません、衝撃から本体を360°保護します。【カード収納】内側にはのカード入れとフリーポケットがつき、名刺や定期券の収納に優れているアイフォン ケースです。普段の生活に便利をもたらします。【スタンド機能】スタンド機能が付き、横向いて斜めに立てて、お好きな角度を調整でき、両手が解放され、お気軽に読書やビデオの観賞を楽しむことができます。【スタンド機能】スタンド機能が付き、横向いて斜めに立てて、お好きな角度を調整でき、両手が解放され、お気軽に読書やビデオの観賞を楽しむことができます。","","1","MC0000027120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2572","cKxVXpPgmwaBfoAGkk4KQT","1","1","jp12","3","1"
"B08TVGCBBQ_1.jpg","B08TVGCBBQ_2.jpg","B08TVGCBBQ_3.jpg","B08TVGCBBQ_4.jpg","","","","","","","★ iPhone12/12 pro 用 クリア★【進化高級ガラス】TORRAS","★ iPhone12/12 pro 用 クリア★【進化高級ガラス】TORRAS【背面ガラス見栄え・薄型軽量化】iPhone 12 / iPhone12 Pro ケース(2022年新アップグレード版) iPhone本体背面と同じ強化ガラスを採用。なめらかな触り心地と癒されるにぎり心地を実現し、ガラス特有の光沢感と高級感を持ち、見るだけで嬉しく、触れるだけで愉しくなれる。更に、独自の軽量化技術により、堅牢性を保ちながら、今までにないガラスの薄型化と軽量化が達成され、iPhone12/12 Pro本体にピッタリフィットして一体感抜群で、持ちやすくて使用心地がすごく良いです。【研ぎ澄ませた透明感・黄変にさよなら】ケース背面は高透過ガラスで、水晶のような透き通った透明感を誇り、光の反射でより美しく輝き。スタイリッシュで見ていて飽きない高級感が溢れるデザインは、ガラス仕上がりの美しさを実感し、iPhone12/12Pro本来の美しさと質感をより一層引き立つ。更に、本物のガラスだからこそ、樹脂製ケースでありがちな「黄ばみ」を起こらなく、いつまでもキラキラ透明感と光沢感を保てます。【ダブル強化・抜群の耐衝撃性】ガラスをベースに500°Cで5時間熱するという独自の強化工程を施すことで、業界高レベルの硬度と耐衝撃度を実現。プラスチック製品はもちろん、普通ガラスよりも10倍の強靭性を持ち、傷が付きにくく、鍵などの鋭利物から保護できる。更に、四つコーナーに防振性能クッションを搭載して、衝撃・振動吸収性能を200アップし、アイホン12/12 Proを全方位からしっかりと守れます。【側面に優しい設計・ストラップホール付き】側面は柔軟性の高いドイツ製TPU素材で、脱着しやすくて本体との擦れ傷を防止。強化ガラスとTPUの一体成型のお陰で、エッジ部分が段差なく、滑らかで持ち心地が良い。また、左下にはストラップホールを搭載しているので、お好みのストラップをつけて、iPhoneをよりおしゃれに飾れます。【側面に優しい設計・ストラップホール付き】側面は柔軟性の高いドイツ製TPU素材で、脱着しやすくて本体との擦れ傷を防止。強化ガラスとTPUの一体成型のお陰で、エッジ部分が段差なく、滑らかで持ち心地が良い。また、左下にはストラップホールを搭載しているので、お好みのストラップをつけて","","1","MC0000027121","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4805","YsqH6HfgXAQsfjjmZn2c8A","1","1","jp12","3","1"
"B0B659N1SJ_1.jpg","B0B659N1SJ_2.jpg","B0B659N1SJ_3.jpg","B0B659N1SJ_4.jpg","","","","","","","★ マットクリア★【本体の手触り・指紋つかず】CASEKOO iPhone14","★ マットクリア★【本体の手触り・指紋つかず】CASEKOO iPhone14?【指紋防止専門家・ロータス効果取得】 Casekooは500,000+ユーザーの意見をもとに、3年間経って、ようやく優れた耐指紋性クリアケースを開発できた。ハスの葉をヒントに開発されたAF指紋防止ナノコーティングを採用、また物理学的乱反射原理による特製マット構造で、指紋が付きにくく清潔感のある見た目を保ってくれ、いつまでも新品のように綺麗さを実現。?【独自滑り止めデザイン・極上の触り心地 】 側面にはCASEKOO独自の滑り止めデザインを設け、適当な凹みで手のひらにピッタリ吸い付くような快適な持ちやすさを楽しめます。また、背面のマット構造加工によるサラサラ手触りと合わせて、一度手にしたら手放せなくなる。?【U-SHOCK AIR搭載・超耐衝撃性能】 空気力学の原理によると、エアバッグはデカければデカいほど、スマホが受けた衝撃を更に吸収できる。試行錯誤を重ね、辿り着いた最も衝撃力を緩和、新進化三代目「U-緩衝SHOCK AIR」を四隅に内臓、落ちる時の衝撃エネルギーを吸収！?【2枚フィルム付き・万全の保護策】 弊社は多くのお客様のケースとフィルムの干渉する問題に基づいて、ケースにぴったり合う2枚ガラスフィルムセットを用意しました。お客様がフィルムを新たに買わずに済むことができる。不適合で隙間があったり、埃が入ったりすることがない。また、ケースは液晶画面より1.2mmとカメラより2.5mm高めに設計で、iPhoneを全方位からしっかりと守る。?【2枚フィルム付き・万全の保護策】 弊社は多くのお客様のケースとフィルムの干渉する問題に基づいて、ケースにぴったり合う2枚ガラスフィルムセットを用意しました。お客様がフィルムを新たに買わずに済むことができる。不適合で隙間があったり、埃が入ったりすることがない。また、ケースは液晶画面より1.2mmとカメラより2.5mm高めに設計で、iPhoneを全方位からしっかりと守る。","","1","MC0000027124","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4892","YsqH6HfgXAQsfjjmZn2c8A","1","1","jp12","3","1"
